city,quality_score_mean,quality_score_median,quality_score_min,quality_score_max,quality_score_std,confidence_level_<lambda>,missing_values_percentage_mean,outlier_count_sum,SO2_mean,SO2_median,NO2_mean,NO2_median,PM2.5_mean,PM2.5_median,RSPM_mean,RSPM_median,SPM_mean,SPM_median,total_measurements
ANKLESHWAR,94.12,94.12,94.12,94.12,0.0,100.0,5.88,0,18.940119760479043,19.0,22.898203592814372,22.0,32.55688622754491,32.0,83.86826347305389,83.0,,,167
Agra,83.32966602792224,82.35,52.35,94.12,5.989548275125349,3.0796605529701613,16.068773610730904,849,6.1689162561578,5.0,19.80431361259263,16.0,,,178.75745931287975,166.0,364.4418576304973,351.0,7306
Ahmedabad,85.58021099744245,82.35,47.35,94.12,5.539038056681248,19.91687979539642,14.307097186700767,93,14.184335897850616,13.0,22.35070432691987,21.0,29.115506329113924,29.0,94.31506972478165,86.0,217.5459650872818,204.0,6256
Aizawl,84.48581594741354,88.24,58.24,94.12,7.34377407800832,8.91683338096599,15.497036296084595,0,2.090873267326337,2.0,7.7839750445625,6.0,,,42.521250238210406,39.0,87.83333333317916,83.0,3499
Akola,86.15030534351143,88.24,58.24,88.24,7.640662391356635,0.0,11.76,0,7.937022900763359,8.0,9.357824427480915,9.0,,,133.35925890620229,132.0,,,1048
Alappuzha,85.85515211640211,88.24,58.24,88.24,8.112184663612757,0.0,11.763895502645502,0,2.5297619047619047,2.0,4.709794837855725,4.5,,,44.332671957671955,43.0,,,1512
Allahabad,86.0496565774156,88.24,58.81999999999999,94.12,4.871663904722014,11.233993015133876,13.231484284051222,247,5.435484248616219,4.0,28.706508679543592,26.1,,,230.81070860004078,232.0,418.91898487130305,385.0,1718
Alwar,84.52269353977576,83.24,40.59,94.12,5.907463196765891,10.704751735184196,15.004802455953016,330,10.39871943545577,8.4,26.837744801676287,22.0,,,173.1661090835128,153.0,269.75611927013796,238.0,3746
Amlai,86.9536974789916,88.24,70.59,88.24,3.35402461649352,0.0,13.046302521008403,0,15.017391304347827,16.0,23.5,27.0,,,64.58823529411765,61.5,,,119
Amona,93.9231772575251,94.12,82.35,94.12,1.5117897762370078,98.32775919732441,6.076822742474916,0,6.965986394557823,6.0,12.040816326530612,11.0,21.410679611650487,21.1,64.95652173913044,61.0,25.83295918367347,24.8,299
Amravati,83.41433631921824,88.24,58.24,88.24,6.274855661413078,0.0,16.463513843648208,0,11.138558631921823,11.0,13.364751426255093,13.0,,,92.83204555043442,89.0,,,2456
Amritsar,83.5945052473763,88.24,58.81999999999999,88.24,5.932578940968259,0.0,16.35676911544228,13,13.548027314112291,13.7,35.917678300455236,36.2,,,194.20838183934808,193.0,407.69584245076584,401.0,1334
Ananthapur,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,4.651234567901234,5.0,11.188271604938272,10.0,,,77.96913580246914,79.5,,,324
Angul,86.64215103945693,88.24,40.59,94.12,5.6548283827449835,26.38947815019092,13.323907509546032,4,7.210308992861828,6.7,18.98652705438802,20.0,58.819047619047616,55.0,101.9119571168385,96.0,199.1946081021334,178.0,2357
Ankleshwar,90.21182258064516,94.12,47.35,94.12,5.123289185185125,50.16129032258064,9.437370967741936,69,21.505161290322583,16.0,24.95774193548387,24.0,30.184,30.0,93.8348134991119,90.0,133.69871794871796,146.0,1240
Anklesvar,82.33265010351967,82.35,70.59,82.35,0.4109975426158383,0.0,17.66217391304348,1,21.130155440414505,21.2,28.120621761658033,27.5,,,105.98550724637681,108.0,184.5134575569358,182.0,966
Anpara,84.36793405461103,82.35,40.59,94.12,5.03951426514882,10.767645543534261,15.15035548686244,169,22.490230775934236,18.7,31.826738691732775,29.4,,,132.61939102548078,133.0,264.63654891317935,262.0,1941
Asansol,87.01215661901803,88.24,67.35,94.12,4.66796139310248,17.712865133623367,12.512392790553138,153,7.682566601689408,7.1,57.74940957116221,56.2,,,127.48202817525794,98.0,287.98633517459666,234.0,1609
Assanora,93.94228187919464,94.12,76.47,94.12,1.554519043186716,98.65771812080537,6.05771812080537,0,6.503401360544218,6.0,11.374149659863946,11.0,17.766990291262136,17.0,60.2962962962963,56.0,26.61553846153846,24.16,298
Aurangabad,88.91427406199021,88.24,46.47,94.12,3.035029027892191,15.769439912996194,11.050380641653073,1,9.968360244482211,9.0,33.02465982484948,32.0,,,81.51146258499725,81.0,196.46612500075,177.0,1839
Aurangabad (MS),80.32197278911565,82.35,58.81999999999999,82.35,5.240052445988078,0.0,19.665272108843535,3,6.376527900797166,5.6,20.873445825932503,20.0,,,75.9853515625,71.0,227.1027397260274,219.5,1176
Baddi,81.61792580101181,82.35,58.81999999999999,88.24,7.5685731265068386,0.0,18.262344013490726,71,2.6043728976453626,2.0,18.13484496124031,16.0,,,104.73100375234522,98.5,347.2090558766859,329.5,2965
Badlapur,86.98464957264957,88.24,77.35,94.12,3.867075005463551,9.401709401709402,10.895692307692308,248,27.14162348877375,24.0,64.45128205128205,61.0,,,110.74871794871795,103.0,141.43478260869566,130.5,585
Balasore,86.58169491525423,88.24,64.71000000000001,94.12,5.420707114622436,12.106537530266344,13.418305084745763,0,3.1558793969849246,2.0,12.08008340062389,12.0,53.82,52.0,79.95697874630348,81.66666667,151.18813105441595,157.6666667,1239
Bangalore,85.39946396396395,88.24,52.35,94.12,4.4083401411610765,5.285285285285285,14.38582132132132,244,13.670073058653966,14.0,33.11424054462935,31.0,,,105.29906850861128,83.0,214.24519230769232,177.0,6660
Bareilly,87.62551315789473,88.24,76.47,88.24,2.43310744882633,0.0,12.170539473684212,31,12.318059299191376,12.0,31.15994623655914,23.0,,,233.03805757948717,227.0,,,760
Baroda,84.42886524822694,82.35,47.35,94.12,7.292275946728619,29.078014184397162,14.486028368794326,105,25.219432624113477,18.0,25.231205673758865,25.0,,,179.23870192307692,172.0,280.5059880239521,272.0,705
Barrackpore,90.24358068315667,89.12,78.24,94.12,3.69783598029626,40.40047114252061,8.76113074204947,169,14.226796230859835,10.0,58.59163722025913,57.9,75.75,72.0,110.50230467227327,100.0,230.3354609937082,214.0,849
Baruipur,64.71000000000001,64.71000000000001,64.71000000000001,64.71000000000001,0.0,0.0,35.29,0,,,,,,,95.84444444444445,89.0,,,45
Bathinda,82.17413978494623,88.24,58.81999999999999,88.24,6.5001628001330145,0.0,17.739838709677418,16,8.86495633187773,8.0,21.921724890829694,20.7,,,145.8548707753479,123.0,222.28605769230768,210.0,930
Belgaum,82.31185654008438,82.35,58.24,88.24,5.399760551468257,0.0,17.64594936708861,0,2.375934579439252,2.0,14.654390934844193,13.0,,,44.6437125748503,43.0,64.90789473684211,52.5,711
Berhampur,83.37363861386137,76.47,70.59,94.12,7.6932446189100565,22.524752475247524,16.626361386138615,0,2.0314720812182743,2.0,15.607953586468355,15.0,31.7816091954023,28.0,63.18935643565594,58.0,149.26965562122805,134.6666667,808
Bharuch,78.88495750708215,82.35,40.59,94.12,8.287064300963431,13.59773371104816,21.030056657223795,0,6.026490066225166,2.0,11.563294797687862,13.2,29.8125,30.0,22.49438202247191,0.0,58.41004184100419,0.0,353
Bhilai,86.74363252375925,88.24,46.47,88.24,3.752766150644652,0.0,13.211488912354806,11,10.158375350140057,10.0,23.546818914562063,22.0,,,106.55351944792973,90.0,198.0536398467433,196.0,1894
Bhilai Nagar,81.29607454401268,82.35,58.81999999999999,82.35,3.061849201209414,0.0,18.70392545598731,0,18.56490250696379,22.2,24.702252614641996,26.5,,,117.63250600480384,103.0,207.55964771817455,190.0,1261
Bhopal,84.75132212235431,83.24,46.47,94.12,7.15341519468439,19.251957089011306,14.980484198318353,179,5.4130210127454355,4.2,17.794970294920113,15.6,79.1,65.0,117.72671774805674,91.0,214.2436137862291,198.0,3449
Bhubaneshwar,76.5211076923077,76.47,66.47,82.35,0.9199114681618251,0.0,23.4712,2,7.913636363636363,6.1,16.443343653250775,16.0,,,76.06384615384616,72.0,144.46420323325634,138.0,1300
Bhubaneswar,91.77944258172674,94.12,82.35,94.12,2.89786953903302,60.35205364626991,8.189124056999162,15,2.0735471698113206,2.0,16.9788022362,16.36666667,31.534736842105264,22.0,82.5784045822674,68.33333333499999,138.91770491770492,121.5,2386
Bhuj,94.12,94.12,94.12,94.12,0.0,100.0,5.88,0,13.375,14.0,20.708333333333332,21.0,30.166666666666668,30.5,85.91666666666667,87.0,,,24
Bicholim,93.96358803986712,94.12,82.35,94.12,1.3500218824361654,98.67109634551495,6.036411960132891,0,6.71043771043771,6.0,12.232323232323232,11.0,18.24271844660194,17.0,72.6578073089701,58.0,29.261868686868688,25.88,301
Bidar,88.24,88.24,88.24,88.24,0.0,0.0,11.759999999999998,0,6.056818181818182,6.0,13.272727272727273,13.0,,,63.39772727272727,61.0,,,88
Bijapur,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,2.235294117647059,2.0,16.58823529411765,14.0,,,99.08823529411765,91.0,,,68
Bilaspur,86.59695833333333,88.24,70.59,88.24,4.3113254956727,0.0,13.403041666666667,0,5.623853211009174,5.5,21.60909090909091,21.0,,,105.13023255813954,101.0,,,240
Bombay,75.12966903073286,76.47,46.47,76.47,3.13072631885394,0.0,24.113829787234042,52,21.169739952718675,14.9,30.061229314420803,27.3,,,,,240.6220472440945,225.0,423
Bongaigaon,85.63619274241523,88.24,70.59,88.24,3.4727804862509073,0.0,14.348935157644258,5,5.9421940928270045,6.0,13.087357013847079,13.0,,,54.37772397094431,46.0,105.1811377245509,81.0,1681
Byrnihat,86.62235294117646,88.24,83.24,88.24,2.341410409190246,0.0,11.76,165,45.47506535931373,29.0,16.67604575165686,16.0,,,146.49433333352943,148.0,,,510
Calcutta,79.31304964539007,76.47,60.59,94.12,8.198607120210287,15.780141843971633,19.064609929078014,183,23.768617021276597,12.6,48.374468085106386,39.349999999999994,,,137.44021739130434,124.5,273.7386363636364,220.5,564
Champhai,87.98624600638978,88.24,70.59,88.24,2.1027196401289547,0.0,12.013753993610223,0,2.030032414910859,2.0,4.837841707184765,5.0,,,45.96866558611021,29.0,,,626
Chandarpur,74.95779220779221,76.47,46.47,76.47,4.338978967749221,0.0,24.522727272727273,2,16.535135135135135,14.7,27.660810810810812,26.2,,,,,152.25714285714287,150.5,77
Chandigarh,82.55332981220657,82.35,52.35,94.12,7.146860289708523,11.009389671361502,17.40030868544601,43,2.6769857433808553,2.0,18.61940416556815,16.0,,,96.58707934168508,87.0,206.0561502726722,187.0,8520
Chandrapur,85.80819322459222,88.24,52.35,94.12,4.520944171698035,7.611877875365956,13.533086574654956,624,20.487356067316206,15.7,29.459831223628694,26.0,,,131.73015873015873,114.0,268.4786601836845,201.0,4782
Chennai,86.78975022569966,88.24,58.81999999999999,94.12,4.966487771085567,15.046644598254588,13.18843213963286,23,11.69563340132622,11.8,19.264114395003144,18.0,23.06040268456376,21.0,62.79188311685034,55.0,142.14856960824181,129.0,6646
Chhindwara,88.00456,88.24,76.47,88.24,1.5678959107978985,0.0,11.99544,0,7.682926829268292,8.0,31.217741935483872,31.0,,,84.8130081300813,85.0,,,125
Chitradurga,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,3.043918918918919,3.0,5.621621621621622,5.0,,,38.48986486486486,34.0,,,296
Chittoor,85.21066799601196,88.24,58.24,94.12,9.687325199115394,6.380857427716849,11.349651046859421,0,4.591226321036889,5.0,11.01395812562313,10.0,,,55.42757242757243,59.0,104.47222222222223,105.0,1003
Chittorgarh,77.3111111111111,82.35,64.71000000000001,82.35,7.587951267927631,0.0,22.549999999999997,1,20.656,17.5,50.891999999999996,50.7,,,,,237.46428571428572,193.5,36
Cochin,78.33608866995073,76.47,46.47,82.35,4.876136510623594,0.0,21.26489655172414,21,10.389333333333333,7.6,15.373975409836065,11.9,,,,,120.76008724100328,99.0,1015
Codli,93.96358803986712,94.12,82.35,94.12,1.350021882436165,98.67109634551495,6.036411960132891,0,6.872053872053872,6.0,12.134680134680135,11.0,16.359223300970875,15.0,58.073089700996675,51.0,24.604949494949494,21.75,301
Coimbatore,85.8264871481028,88.24,58.81999999999999,94.12,6.1636764862786855,18.421052631578945,14.141383108935129,21,5.7372680017504925,4.7,29.535602254409017,26.0,30.048,28.0,65.41723401869127,58.0,132.29250905794024,110.0,3268
