city,High,Low,Medium,total,high_pct,medium_pct,low_pct
ANKLESHWAR,167.0,0.0,0.0,167.0,100.0,0.0,0.0
Agra,225.0,65.0,7016.0,7306.0,3.08,96.03,0.89
Ahmedabad,1246.0,2.0,5008.0,6256.0,19.92,80.05,0.03
Aizawl,312.0,1.0,3186.0,3499.0,8.92,91.05,0.03
Akola,0.0,0.0,1048.0,1048.0,0.0,100.0,0.0
Alappuzha,0.0,0.0,1512.0,1512.0,0.0,100.0,0.0
Allahabad,193.0,1.0,1524.0,1718.0,11.23,88.71,0.06
Alwar,401.0,22.0,3323.0,3746.0,10.7,88.71,0.59
Amlai,0.0,0.0,119.0,119.0,0.0,100.0,0.0
Amona,294.0,0.0,5.0,299.0,98.33,1.67,0.0
Amravati,0.0,0.0,2456.0,2456.0,0.0,100.0,0.0
Amritsar,0.0,1.0,1333.0,1334.0,0.0,99.93,0.07
Ananthapur,0.0,0.0,324.0,324.0,0.0,100.0,0.0
Angul,622.0,5.0,1730.0,2357.0,26.39,73.4,0.21
Ankleshwar,622.0,2.0,616.0,1240.0,50.16,49.68,0.16
Anklesvar,0.0,0.0,966.0,966.0,0.0,100.0,0.0
Anpara,209.0,8.0,1724.0,1941.0,10.77,88.82,0.41
Asansol,285.0,0.0,1324.0,1609.0,17.71,82.29,0.0
Assanora,294.0,0.0,4.0,298.0,98.66,1.34,0.0
Aurangabad,290.0,2.0,1547.0,1839.0,15.77,84.12,0.11
Aurangabad (MS),0.0,36.0,1140.0,1176.0,0.0,96.94,3.06
Baddi,0.0,146.0,2819.0,2965.0,0.0,95.08,4.92
Badlapur,55.0,0.0,530.0,585.0,9.4,90.6,0.0
Balasore,150.0,1.0,1088.0,1239.0,12.11,87.81,0.08
Bangalore,352.0,40.0,6268.0,6660.0,5.29,94.11,0.6
Bareilly,0.0,0.0,760.0,760.0,0.0,100.0,0.0
Baroda,205.0,2.0,498.0,705.0,29.08,70.64,0.28
Barrackpore,343.0,0.0,506.0,849.0,40.4,59.6,0.0
Baruipur,0.0,45.0,0.0,45.0,0.0,0.0,100.0
Bathinda,0.0,12.0,918.0,930.0,0.0,98.71,1.29
Belgaum,0.0,0.0,711.0,711.0,0.0,100.0,0.0
Berhampur,182.0,0.0,626.0,808.0,22.52,77.48,0.0
Bharuch,48.0,19.0,286.0,353.0,13.6,81.02,5.38
Bhilai,0.0,1.0,1893.0,1894.0,0.0,99.95,0.05
Bhilai Nagar,0.0,12.0,1249.0,1261.0,0.0,99.05,0.95
Bhopal,664.0,65.0,2720.0,3449.0,19.25,78.86,1.88
Bhubaneshwar,0.0,0.0,1300.0,1300.0,0.0,100.0,0.0
Bhubaneswar,1440.0,0.0,946.0,2386.0,60.35,39.65,0.0
Bhuj,24.0,0.0,0.0,24.0,100.0,0.0,0.0
Bicholim,297.0,0.0,4.0,301.0,98.67,1.33,0.0
Bidar,0.0,0.0,88.0,88.0,0.0,100.0,0.0
Bijapur,0.0,0.0,68.0,68.0,0.0,100.0,0.0
Bilaspur,0.0,0.0,240.0,240.0,0.0,100.0,0.0
Bombay,0.0,2.0,421.0,423.0,0.0,99.53,0.47
Bongaigaon,0.0,0.0,1681.0,1681.0,0.0,100.0,0.0
Byrnihat,0.0,0.0,510.0,510.0,0.0,100.0,0.0
Calcutta,89.0,0.0,475.0,564.0,15.78,84.22,0.0
Champhai,0.0,0.0,626.0,626.0,0.0,100.0,0.0
Chandarpur,0.0,4.0,73.0,77.0,0.0,94.81,5.19
Chandigarh,938.0,9.0,7573.0,8520.0,11.01,88.88,0.11
Chandrapur,364.0,2.0,4416.0,4782.0,7.61,92.35,0.04
Chennai,1000.0,6.0,5640.0,6646.0,15.05,84.86,0.09
Chhindwara,0.0,0.0,125.0,125.0,0.0,100.0,0.0
Chitradurga,0.0,0.0,296.0,296.0,0.0,100.0,0.0
Chittoor,64.0,0.0,939.0,1003.0,6.38,93.62,0.0
Chittorgarh,0.0,8.0,28.0,36.0,0.0,77.78,22.22
Cochin,0.0,10.0,1005.0,1015.0,0.0,99.01,0.99
Codli,297.0,0.0,4.0,301.0,98.67,1.33,0.0
Coimbatore,602.0,39.0,2627.0,3268.0,18.42,80.39,1.19
Cuddalore,16.0,0.0,635.0,651.0,2.46,97.54,0.0
Cuncolim,103.0,0.0,0.0,103.0,100.0,0.0,0.0
Curchorem,301.0,0.0,6.0,307.0,98.05,1.95,0.0
Cuttack,728.0,1.0,1145.0,1874.0,38.85,61.1,0.05
DANKUNI,0.0,0.0,103.0,103.0,0.0,100.0,0.0
Daman,54.0,6.0,587.0,647.0,8.35,90.73,0.93
Daman Diu & Nagar,0.0,0.0,166.0,166.0,0.0,100.0,0.0
Damtal,0.0,3.0,2942.0,2945.0,0.0,99.9,0.1
Daranga,0.0,0.0,399.0,399.0,0.0,100.0,0.0
Davangere,0.0,0.0,701.0,701.0,0.0,100.0,0.0
Dawki,0.0,0.0,510.0,510.0,0.0,100.0,0.0
Dehradoon,0.0,1.0,261.0,262.0,0.0,99.62,0.38
Dehradun,82.0,4.0,943.0,1029.0,7.97,91.64,0.39
Delhi,281.0,41.0,8229.0,8551.0,3.29,96.23,0.48
Dera Baba,0.0,0.0,608.0,608.0,0.0,100.0,0.0
Dera Bassi,0.0,10.0,2454.0,2464.0,0.0,99.59,0.41
Dewas,448.0,30.0,1299.0,1777.0,25.21,73.1,1.69
Dhanbad,136.0,8.0,1614.0,1758.0,7.74,91.81,0.46
Dharamshala,0.0,0.0,247.0,247.0,0.0,100.0,0.0
Dharuhera,0.0,0.0,1.0,1.0,0.0,100.0,0.0
Dharwad,0.0,0.0,409.0,409.0,0.0,100.0,0.0
Dibrugarh,0.0,0.0,790.0,790.0,0.0,100.0,0.0
Dimapur,185.0,1.0,1575.0,1761.0,10.51,89.44,0.06
Dombivli,0.0,2.0,825.0,827.0,0.0,99.76,0.24
Domlur,0.0,0.0,126.0,126.0,0.0,100.0,0.0
Durgapur,493.0,0.0,462.0,955.0,51.62,48.38,0.0
Durgapur (WB),0.0,0.0,1375.0,1375.0,0.0,100.0,0.0
Eluru,0.0,0.0,300.0,300.0,0.0,100.0,0.0
Faridabad,224.0,0.0,1634.0,1858.0,12.06,87.94,0.0
Faridkot,0.0,0.0,97.0,97.0,0.0,100.0,0.0
Firozabad,308.0,34.0,2278.0,2620.0,11.76,86.95,1.3
Gajraula,263.0,35.0,1210.0,1508.0,17.44,80.24,2.32
Gajroula,0.0,38.0,179.0,217.0,0.0,82.49,17.51
Gangtok,0.0,0.0,1.0,1.0,0.0,100.0,0.0
Ghaziabad,221.0,49.0,1786.0,2056.0,10.75,86.87,2.38
Gobindgarh,232.0,13.0,3731.0,3976.0,5.84,93.84,0.33
Golaghat,0.0,0.0,707.0,707.0,0.0,100.0,0.0
Gorakhpur,0.0,0.0,670.0,670.0,0.0,100.0,0.0
Greater Mumbai,0.0,2.0,687.0,689.0,0.0,99.71,0.29
Gulbarga,0.0,0.0,767.0,767.0,0.0,100.0,0.0
Guntur,69.0,0.0,560.0,629.0,10.97,89.03,0.0
Guwahati,0.0,28.0,9956.0,9984.0,0.0,99.72,0.28
Gwalior,221.0,23.0,1052.0,1296.0,17.05,81.17,1.77
HALDIA,0.0,0.0,104.0,104.0,0.0,100.0,0.0
Hailakandi,0.0,0.0,231.0,231.0,0.0,100.0,0.0
Haldia,432.0,9.0,1940.0,2381.0,18.14,81.48,0.38
Haldwani,0.0,0.0,254.0,254.0,0.0,100.0,0.0
Haridwar,0.0,0.0,299.0,299.0,0.0,100.0,0.0
Hassan,0.0,0.0,1024.0,1024.0,0.0,100.0,0.0
Hisar,0.0,79.0,933.0,1012.0,0.0,92.19,7.81
Honda,290.0,0.0,10.0,300.0,96.67,3.33,0.0
Hoshiarpur,0.0,0.0,88.0,88.0,0.0,100.0,0.0
Howrah,398.0,8.0,3195.0,3601.0,11.05,88.73,0.22
Hubli,0.0,0.0,411.0,411.0,0.0,100.0,0.0
Hubli-Dharwad,0.0,0.0,872.0,872.0,0.0,100.0,0.0
Hyderabad,1047.0,31.0,8589.0,9667.0,10.83,88.85,0.32
Imphal,0.0,0.0,76.0,76.0,0.0,100.0,0.0
Indore,667.0,54.0,2735.0,3456.0,19.3,79.14,1.56
Itanagar,0.0,0.0,45.0,45.0,0.0,100.0,0.0
Jabalpur,136.0,30.0,818.0,984.0,13.82,83.13,3.05
Jaipur,842.0,4.0,7004.0,7850.0,10.73,89.22,0.05
Jalandhar,0.0,95.0,3689.0,3784.0,0.0,97.49,2.51
Jalgaon,137.0,0.0,1716.0,1853.0,7.39,92.61,0.0
Jalna,0.0,0.0,905.0,905.0,0.0,100.0,0.0
Jammu,0.0,0.0,1289.0,1289.0,0.0,100.0,0.0
Jamnagar,271.0,0.0,744.0,1015.0,26.7,73.3,0.0
Jamshedpur,144.0,6.0,1829.0,1979.0,7.28,92.42,0.3
Jhansi,480.0,0.0,1289.0,1769.0,27.13,72.87,0.0
Jharia,121.0,3.0,876.0,1000.0,12.1,87.6,0.3
Jodhpur,814.0,11.0,5210.0,6035.0,13.49,86.33,0.18
Kadapa,0.0,0.0,316.0,316.0,0.0,100.0,0.0
Kakinada,0.0,0.0,288.0,288.0,0.0,100.0,0.0
Kala Amb,0.0,0.0,1548.0,1548.0,0.0,100.0,0.0
Kalinga Nagar,306.0,0.0,208.0,514.0,59.53,40.47,0.0
Kalyani,0.0,0.0,104.0,104.0,0.0,100.0,0.0
Kanpur,796.0,24.0,6725.0,7545.0,10.55,89.13,0.32
Karaikal,0.0,0.0,431.0,431.0,0.0,100.0,0.0
Karimnagar,0.0,0.0,167.0,167.0,0.0,100.0,0.0
Kashipur,0.0,0.0,236.0,236.0,0.0,100.0,0.0
Keonjhar,76.0,0.0,0.0,76.0,100.0,0.0,0.0
Khadoli,50.0,0.0,259.0,309.0,16.18,83.82,0.0
Khajuraho,0.0,0.0,16.0,16.0,0.0,100.0,0.0
Khammam,0.0,0.0,698.0,698.0,0.0,100.0,0.0
Khanna,0.0,1.0,2134.0,2135.0,0.0,99.95,0.05
Khliehriat,0.0,0.0,221.0,221.0,0.0,100.0,0.0
Khurja,115.0,59.0,1128.0,1302.0,8.83,86.64,4.53
Kochi,746.0,2.0,6515.0,7263.0,10.27,89.7,0.03
Kohima,93.0,0.0,609.0,702.0,13.25,86.75,0.0
Kolar,0.0,0.0,199.0,199.0,0.0,100.0,0.0
Kolasib,0.0,0.0,623.0,623.0,0.0,100.0,0.0
Kolhapur,294.0,18.0,2868.0,3180.0,9.25,90.19,0.57
Kolkata,930.0,7.0,6796.0,7733.0,12.03,87.88,0.09
Kollam,224.0,0.0,1243.0,1467.0,15.27,84.73,0.0
Konark,65.0,0.0,13.0,78.0,83.33,16.67,0.0
